"NYSE_BHI","http://en.wikipedia.org/wiki/Baker_Hughes_Inc","Baker Hughes",1,30542
"NYSE_BLL","http://en.wikipedia.org/wiki/Ball_Corp","Ball Corporation",1,13497
"NYSE_BAC","http://en.wikipedia.org/wiki/Bank_of_America_Corp","Bank of America",9,981838
"NYSE_BK","http://en.wikipedia.org/wiki/The_Bank_of_New_York_Mellon_Corp.","The Bank of New York Mellon",5,257973
"NYSE_BCR","http://en.wikipedia.org/wiki/Bard_(C.R.)_Inc.","C. R. Bard",0,0
"NYSE_BXLT","http://en.wikipedia.org/wiki/Baxalta","Baxalta",2,16791
"NYSE_BAX","http://en.wikipedia.org/wiki/Baxter_International_Inc.","Baxter International",22,668276
"NYSE_BBT","http://en.wikipedia.org/wiki/BB&T_Corporation","BB&T",1,16195
"NYSE_BDX","http://en.wikipedia.org/wiki/Becton_Dickinson","Becton Dickinson",0,0
"NASDAQ_BBBY","http://en.wikipedia.org/wiki/Bed_Bath_&_Beyond","Bed Bath & Beyond",1,7921
"NYSE_BRK-B","http://en.wikipedia.org/wiki/Berkshire_Hathaway","Berkshire Hathaway",12,573892
"NYSE_BBY","http://en.wikipedia.org/wiki/Best_Buy_Co._Inc.","Best Buy",13,605159
"NASDAQ_BIIB","http://en.wikipedia.org/wiki/BIOGEN_IDEC_Inc.","Biogen",7,135106
"NYSE_BLK","http://en.wikipedia.org/wiki/BlackRock","BlackRock",11,158911
"NYSE_HRB","http://en.wikipedia.org/wiki/Block_H&R","H&R Block",0,0
"NYSE_BA","http://en.wikipedia.org/wiki/Boeing_Company","Boeing",14,1161690
"NYSE_BWA","http://en.wikipedia.org/wiki/BorgWarner","BorgWarner",5,112582
"NYSE_BXP","http://en.wikipedia.org/wiki/Boston_Properties","Boston Properties",4,15093
"NYSE_BSX","http://en.wikipedia.org/wiki/Boston_Scientific","Boston Scientific",1,8124
"NYSE_BMY","http://en.wikipedia.org/wiki/Bristol-Myers_Squibb","Bristol-Myers Squibb",2,54064
"NASDAQ_BRCM","http://en.wikipedia.org/wiki/Broadcom_Corporation","Broadcom",4,112331
"NYSE_BF-B","http://en.wikipedia.org/wiki/Brown-Forman_Corporation","Brown-Forman",0,0
"NASDAQ_CHRW","http://en.wikipedia.org/wiki/C._H._Robinson_Worldwide","C. H. Robinson",2,45380
"NASDAQ_CA","http://en.wikipedia.org/wiki/CA","CA",11,53766
"NYSE_CVC","http://en.wikipedia.org/wiki/Cablevision","Cablevision",0,0
"NYSE_COG","http://en.wikipedia.org/wiki/Cabot_Oil_&_Gas","Cabot Oil & Gas",0,0
"NYSE_CAM","http://en.wikipedia.org/wiki/Cameron_International_Corp.","Cameron International",0,0
"NYSE_CPB","http://en.wikipedia.org/wiki/Campbell_Soup","Campbell Soup Company",5,118493
"NYSE_COF","http://en.wikipedia.org/wiki/Capital_One_Financial","Capital One",4,155762
"NYSE_CAH","http://en.wikipedia.org/wiki/Cardinal_Health_Inc.","Cardinal Health",3,54465
"NASDAQ_HSIC","http://en.wikipedia.org/wiki/Henry_Schein","Henry Schein",0,0
"NYSE_KMX","http://en.wikipedia.org/wiki/Carmax_Inc","CarMax",6,39282
"NYSE_CCL","http://en.wikipedia.org/wiki/Carnival_Corp.","Carnival Corporation & plc",10,269740
"NYSE_CAT","http://en.wikipedia.org/wiki/Caterpillar_Inc.","Caterpillar Inc.",4,333408
"NYSE_CBG","http://en.wikipedia.org/wiki/CBRE_Group","CBRE Group",0,0
"NYSE_CBS","http://en.wikipedia.org/wiki/CBS_Corp.","CBS Corporation",4,84039
"NASDAQ_CELG","http://en.wikipedia.org/wiki/Celgene_Corp.","Celgene",1,17003
"NYSE_CNP","http://en.wikipedia.org/wiki/CenterPoint_Energy","CenterPoint Energy",0,0
"NYSE_CTL","http://en.wikipedia.org/wiki/CenturyLink_Inc","CenturyLink",6,242549
"NASDAQ_CERN","http://en.wikipedia.org/wiki/Cerner","Cerner",0,0
"NYSE_CF","http://en.wikipedia.org/wiki/CF_Industries_Holdings_Inc","CF Industries",0,0
"NYSE_SCHW","http://en.wikipedia.org/wiki/Charles_Schwab_Corporation","Charles Schwab Corporation",3,42130
"NYSE_CHK","http://en.wikipedia.org/wiki/Chesapeake_Energy","Chesapeake Energy",0,0
"NYSE_CVX","http://en.wikipedia.org/wiki/Chevron_Corp.","Chevron Corporation",9,752952
"NYSE_CMG","http://en.wikipedia.org/wiki/Chipotle_Mexican_Grill","Chipotle Mexican Grill",29,2532572
"NYSE_CB","http://en.wikipedia.org/wiki/Chubb_Corp.","Chubb Corp.",0,0
"NYSE_CI","http://en.wikipedia.org/wiki/CIGNA_Corp.","Cigna",31,589664
"NYSE_XEC","http://en.wikipedia.org/wiki/Cimarex_Energy","Cimarex Energy",0,0
"NASDAQ_CINF","http://en.wikipedia.org/wiki/Cincinnati_Financial","Cincinnati Financial",1,3789
