"NYSE_BCR","http://en.wikipedia.org/wiki/Bard_(C.R.)_Inc.","C. R. Bard"
"NYSE_BXLT","http://en.wikipedia.org/wiki/Baxalta","Baxalta"
"NYSE_BAX","http://en.wikipedia.org/wiki/Baxter_International_Inc.","Baxter International"
"NYSE_BBT","http://en.wikipedia.org/wiki/BB&T_Corporation","BB&T"
"NYSE_BDX","http://en.wikipedia.org/wiki/Becton_Dickinson","Becton Dickinson"
"NASDAQ_BBBY","http://en.wikipedia.org/wiki/Bed_Bath_&_Beyond","Bed Bath & Beyond"
"NYSE_BRK-B","http://en.wikipedia.org/wiki/Berkshire_Hathaway","Berkshire Hathaway"
"NYSE_BBY","http://en.wikipedia.org/wiki/Best_Buy_Co._Inc.","Best Buy"
"NASDAQ_BIIB","http://en.wikipedia.org/wiki/BIOGEN_IDEC_Inc.","Biogen"
"NYSE_BLK","http://en.wikipedia.org/wiki/BlackRock","BlackRock"
"NYSE_HRB","http://en.wikipedia.org/wiki/Block_H&R","H&R Block"
"NYSE_BA","http://en.wikipedia.org/wiki/Boeing_Company","Boeing"
"NYSE_BWA","http://en.wikipedia.org/wiki/BorgWarner","BorgWarner"
"NYSE_BXP","http://en.wikipedia.org/wiki/Boston_Properties","Boston Properties"
"NYSE_BSX","http://en.wikipedia.org/wiki/Boston_Scientific","Boston Scientific"
"NYSE_BMY","http://en.wikipedia.org/wiki/Bristol-Myers_Squibb","Bristol-Myers Squibb"
"NASDAQ_BRCM","http://en.wikipedia.org/wiki/Broadcom_Corporation","Broadcom"
"NYSE_BF-B","http://en.wikipedia.org/wiki/Brown-Forman_Corporation","Brown-Forman"
"NASDAQ_CHRW","http://en.wikipedia.org/wiki/C._H._Robinson_Worldwide","C. H. Robinson"
"NASDAQ_CA","http://en.wikipedia.org/wiki/CA","CA"
"NYSE_CVC","http://en.wikipedia.org/wiki/Cablevision","Cablevision"
"NYSE_COG","http://en.wikipedia.org/wiki/Cabot_Oil_&_Gas","Cabot Oil & Gas"
"NYSE_CAM","http://en.wikipedia.org/wiki/Cameron_International_Corp.","Cameron International"
"NYSE_CPB","http://en.wikipedia.org/wiki/Campbell_Soup","Campbell Soup Company"
"NYSE_COF","http://en.wikipedia.org/wiki/Capital_One_Financial","Capital One"
"NYSE_CAH","http://en.wikipedia.org/wiki/Cardinal_Health_Inc.","Cardinal Health"
"NASDAQ_HSIC","http://en.wikipedia.org/wiki/Henry_Schein","Henry Schein"
"NYSE_KMX","http://en.wikipedia.org/wiki/Carmax_Inc","CarMax"
"NYSE_CCL","http://en.wikipedia.org/wiki/Carnival_Corp.","Carnival Corporation & plc"
"NYSE_CAT","http://en.wikipedia.org/wiki/Caterpillar_Inc.","Caterpillar Inc."
"NYSE_CBG","http://en.wikipedia.org/wiki/CBRE_Group","CBRE Group"
"NYSE_CBS","http://en.wikipedia.org/wiki/CBS_Corp.","CBS Corporation"
"NASDAQ_CELG","http://en.wikipedia.org/wiki/Celgene_Corp.","Celgene"
"NYSE_CNP","http://en.wikipedia.org/wiki/CenterPoint_Energy","CenterPoint Energy"
"NYSE_CTL","http://en.wikipedia.org/wiki/CenturyLink_Inc","CenturyLink"
"NASDAQ_CERN","http://en.wikipedia.org/wiki/Cerner","Cerner"
"NYSE_CF","http://en.wikipedia.org/wiki/CF_Industries_Holdings_Inc","CF Industries"
"NYSE_SCHW","http://en.wikipedia.org/wiki/Charles_Schwab_Corporation","Charles Schwab Corporation"
"NYSE_CHK","http://en.wikipedia.org/wiki/Chesapeake_Energy","Chesapeake Energy"
"NYSE_CVX","http://en.wikipedia.org/wiki/Chevron_Corp.","Chevron Corporation"
"NYSE_CMG","http://en.wikipedia.org/wiki/Chipotle_Mexican_Grill","Chipotle Mexican Grill"
"NYSE_CB","http://en.wikipedia.org/wiki/Chubb_Corp.","Chubb Corp."
"NYSE_CI","http://en.wikipedia.org/wiki/CIGNA_Corp.","Cigna"
"NYSE_XEC","http://en.wikipedia.org/wiki/Cimarex_Energy","Cimarex Energy"
"NASDAQ_CINF","http://en.wikipedia.org/wiki/Cincinnati_Financial","Cincinnati Financial"
"NASDAQ_CTAS","http://en.wikipedia.org/wiki/Cintas_Corporation","Cintas"
"NASDAQ_CSCO","http://en.wikipedia.org/wiki/Cisco_Systems","Cisco Systems"
"NYSE_C","http://en.wikipedia.org/wiki/Citigroup_Inc.","Citigroup"
"NASDAQ_CTXS","http://en.wikipedia.org/wiki/Citrix_Systems","Citrix Systems"
"NYSE_CLX","http://en.wikipedia.org/wiki/The_Clorox_Company","Clorox"
"NASDAQ_CME","http://en.wikipedia.org/wiki/CME_Group_Inc.","CME Group"
"NYSE_CMS","http://en.wikipedia.org/wiki/CMS_Energy","CMS Energy"
"NYSE_COH","http://en.wikipedia.org/wiki/Coach_Inc.","Coach, Inc."
"NYSE_KO","http://en.wikipedia.org/wiki/The_Coca_Cola_Company","The Coca-Cola Company"
"NYSE_CCE","http://en.wikipedia.org/wiki/Coca-Cola_Enterprises","Coca-Cola Enterprises"
"NASDAQ_CTSH","http://en.wikipedia.org/wiki/Cognizant_Technology_Solutions","Cognizant"
"NYSE_CL","http://en.wikipedia.org/wiki/Colgate-Palmolive","Colgate-Palmolive"
"NASDAQ_CMCSA","http://en.wikipedia.org/wiki/Comcast_A_Corp","Comcast"
"NASDAQ_CMCSK","http://en.wikipedia.org/wiki/Comcast_Special_Corp_Class_A","Comcast"
"NYSE_CMA","http://en.wikipedia.org/wiki/Comerica_Inc.","Comerica"
"NYSE_CSC","http://en.wikipedia.org/wiki/Computer_Sciences_Corp.","Computer Sciences Corporation"
"NYSE_CAG","http://en.wikipedia.org/wiki/ConAgra_Foods_Inc.","ConAgra Foods"
"NYSE_COP","http://en.wikipedia.org/wiki/ConocoPhillips","ConocoPhillips"
"NYSE_CNX","http://en.wikipedia.org/wiki/CONSOL_Energy_Inc.","Consol Energy"
"NYSE_ED","http://en.wikipedia.org/wiki/Consolidated_Edison","Consolidated Edison"
"NYSE_STZ","http://en.wikipedia.org/wiki/Constellation_Brands","Constellation Brands"
"NYSE_GLW","http://en.wikipedia.org/wiki/Corning_Inc.","Corning Inc."
"NASDAQ_COST","http://en.wikipedia.org/wiki/Costco_Co.","Costco"
"NYSE_CCI","http://en.wikipedia.org/wiki/Crown_Castle_International_Corp.","Crown Castle International Corp."
"NYSE_CSX","http://en.wikipedia.org/wiki/CSX_Corp.","CSX Corporation"
"NYSE_CMI","http://en.wikipedia.org/wiki/Cummins_Inc.","Cummins"
"NYSE_CVS","http://en.wikipedia.org/wiki/CVS_Caremark_Corp.","CVS Health"
"NYSE_DHI","http://en.wikipedia.org/wiki/D._R._Horton","D. R. Horton"
"NYSE_DHR","http://en.wikipedia.org/wiki/Danaher_Corp.","Danaher Corporation"
"NYSE_DRI","http://en.wikipedia.org/wiki/Darden_Restaurants","Darden Restaurants"
"NYSE_DVA","http://en.wikipedia.org/wiki/DaVita_Inc.","DaVita"
"NYSE_DE","http://en.wikipedia.org/wiki/Deere_&_Co.","John Deere"
"NYSE_DLPH","http://en.wikipedia.org/wiki/Delphi_Automotive","Delphi Automotive"
"NYSE_DAL","http://en.wikipedia.org/wiki/Delta_Air_Lines","Delta Air Lines"
"NASDAQ_XRAY","http://en.wikipedia.org/wiki/Dentsply_International","Dentsply"
"NYSE_DVN","http://en.wikipedia.org/wiki/Devon_Energy_Corp.","Devon Energy"
"NYSE_DO","http://en.wikipedia.org/wiki/Diamond_Offshore_Drilling","Diamond Offshore Drilling"
"NYSE_DFS","http://en.wikipedia.org/wiki/Discover_Financial","Discover Financial"
"NASDAQ_DISCA","http://en.wikipedia.org/wiki/Discovery_Communications-A","Discovery Communications"
"NASDAQ_DISCK","http://en.wikipedia.org/wiki/Discovery_Communications-C","Discovery Communications"
"NYSE_DG","http://en.wikipedia.org/wiki/Dollar_General","Dollar General"
"NASDAQ_DLTR","http://en.wikipedia.org/wiki/Dollar_Tree","Dollar Tree"
"NYSE_D","http://en.wikipedia.org/wiki/Dominion_Resources","Dominion Resources"
"NYSE_DOV","http://en.wikipedia.org/wiki/Dover_Corp.","Dover Corporation"
"NYSE_DOW","http://en.wikipedia.org/wiki/Dow_Chemical","Dow Chemical Company"
"NYSE_DPS","http://en.wikipedia.org/wiki/Dr_Pepper_Snapple_Group","Dr Pepper Snapple Group"
"NYSE_DTE","http://en.wikipedia.org/wiki/DTE_Energy_Co.","DTE Energy"
"NYSE_DD","http://en.wikipedia.org/wiki/Du_Pont_(E.I.)","DuPont"
"NYSE_DUK","http://en.wikipedia.org/wiki/Duke_Energy","Duke Energy"
"NYSE_DNB","http://en.wikipedia.org/wiki/Dun_&_Bradstreet","Dun & Bradstreet"
"NASDAQ_ETFC","http://en.wikipedia.org/wiki/E*Trade","E-Trade"
"NYSE_EMN","http://en.wikipedia.org/wiki/Eastman_Chemical","Eastman Chemical Company"
"NYSE_ETN","http://en.wikipedia.org/wiki/Eaton_Corporation","Eaton Corporation"
"NASDAQ_EBAY","http://en.wikipedia.org/wiki/eBay_Inc.","eBay"
"NYSE_ECL","http://en.wikipedia.org/wiki/Ecolab_Inc.","Ecolab"
"NYSE_EIX","http://en.wikipedia.org/wiki/Edison_Int'l","Edison International"
"NYSE_EW","http://en.wikipedia.org/wiki/Edwards_Lifesciences","Edwards Lifesciences"
"NASDAQ_EA","http://en.wikipedia.org/wiki/Electronic_Arts","Electronic Arts"
"NYSE_EMC","http://en.wikipedia.org/wiki/EMC_Corp.","EMC Corporation"
