"NYSE_AN","http://en.wikipedia.org/wiki/AutoNation_Inc","AutoNation","0","19192133.0",
"NYSE_AZO","http://en.wikipedia.org/wiki/AutoZone_Inc","AutoZone","8","5828457.0",
"NASDAQ_AVGO","http://en.wikipedia.org/wiki/Avago_Technologies","Avago","2","85556263.0",
"NYSE_AVB","http://en.wikipedia.org/wiki/AvalonBay_Communities","AvalonBay Communities","1","16666562.0",
"NYSE_AVY","http://en.wikipedia.org/wiki/Avery_Dennison_Corp","Avery Dennison","0","15899801.0",
"NYSE_BHI","http://en.wikipedia.org/wiki/Baker_Hughes_Inc","Baker Hughes","1","65662721.0",
"NYSE_BLL","http://en.wikipedia.org/wiki/Ball_Corp","Ball Corporation","1","22090883.0",
"NYSE_BAC","http://en.wikipedia.org/wiki/Bank_of_America_Corp","Bank of America","9","1849379988.0",
"NYSE_BK","http://en.wikipedia.org/wiki/The_Bank_of_New_York_Mellon_Corp.","The Bank of New York Mellon","5","128102520.0",
"NYSE_BCR","http://en.wikipedia.org/wiki/Bard_(C.R.)_Inc.","C. R. Bard","0","14935641.0",
"NYSE_BXLT","http://en.wikipedia.org/wiki/Baxalta","Baxalta","2","DatasetNotFound",
"NYSE_BAX","http://en.wikipedia.org/wiki/Baxter_International_Inc.","Baxter International","22","141313445.0",
"NYSE_BBT","http://en.wikipedia.org/wiki/BB&T_Corporation","BB&T","1","93909621.0",
"NYSE_BDX","http://en.wikipedia.org/wiki/Becton_Dickinson","Becton Dickinson","0","19127723.0",
"NASDAQ_BBBY","http://en.wikipedia.org/wiki/Bed_Bath_&_Beyond","Bed Bath & Beyond","1","46643783.0",
"NYSE_BRK-B","http://en.wikipedia.org/wiki/Berkshire_Hathaway","Berkshire Hathaway","12","ErrorDownloading",
"NYSE_BBY","http://en.wikipedia.org/wiki/Best_Buy_Co._Inc.","Best Buy","13","72781083.0",
"NASDAQ_BIIB","http://en.wikipedia.org/wiki/BIOGEN_IDEC_Inc.","Biogen","7","82782974.0",
"NYSE_BLK","http://en.wikipedia.org/wiki/BlackRock","BlackRock","11","17587493.0",
"NYSE_HRB","http://en.wikipedia.org/wiki/Block_H&R","H&R Block","0","81933389.0",
"NYSE_BA","http://en.wikipedia.org/wiki/Boeing_Company","Boeing","14","92149644.0",
"NYSE_BWA","http://en.wikipedia.org/wiki/BorgWarner","BorgWarner","5","61554515.0",
"NYSE_BXP","http://en.wikipedia.org/wiki/Boston_Properties","Boston Properties","4","19614102.0",
"NYSE_BSX","http://en.wikipedia.org/wiki/Boston_Scientific","Boston Scientific","1","231722227.0",
"NYSE_BMY","http://en.wikipedia.org/wiki/Bristol-Myers_Squibb","Bristol-Myers Squibb","2","164400330.0",
"NASDAQ_BRCM","http://en.wikipedia.org/wiki/Broadcom_Corporation","Broadcom","4","115725044.0",
"NYSE_BF-B","http://en.wikipedia.org/wiki/Brown-Forman_Corporation","Brown-Forman","0","ErrorDownloading",
"NASDAQ_CHRW","http://en.wikipedia.org/wiki/C._H._Robinson_Worldwide","C. H. Robinson","2","33853149.0",
"NASDAQ_CA","http://en.wikipedia.org/wiki/CA","CA","11","64680919.0",
"NYSE_CVC","http://en.wikipedia.org/wiki/Cablevision","Cablevision","0","90034697.0",
"NYSE_COG","http://en.wikipedia.org/wiki/Cabot_Oil_&_Gas","Cabot Oil & Gas","0","155569284.0",
"NYSE_CAM","http://en.wikipedia.org/wiki/Cameron_International_Corp.","Cameron International","0","53948307.0",
"NYSE_CPB","http://en.wikipedia.org/wiki/Campbell_Soup","Campbell Soup Company","5","36393655.0",
"NYSE_COF","http://en.wikipedia.org/wiki/Capital_One_Financial","Capital One","4","62511773.0",
"NYSE_CAH","http://en.wikipedia.org/wiki/Cardinal_Health_Inc.","Cardinal Health","3","55107791.0",
"NASDAQ_HSIC","http://en.wikipedia.org/wiki/Henry_Schein","Henry Schein","0","10410954.0",
"NYSE_KMX","http://en.wikipedia.org/wiki/Carmax_Inc","CarMax","6","41858851.0",
"NYSE_CCL","http://en.wikipedia.org/wiki/Carnival_Corp.","Carnival Corporation & plc","10","86658193.0",
"NYSE_CAT","http://en.wikipedia.org/wiki/Caterpillar_Inc.","Caterpillar Inc.","4","157783214.0",
"NYSE_CBG","http://en.wikipedia.org/wiki/CBRE_Group","CBRE Group","0","56543498.0",
"NYSE_CBS","http://en.wikipedia.org/wiki/CBS_Corp.","CBS Corporation","4","148514614.0",
"NASDAQ_CELG","http://en.wikipedia.org/wiki/Celgene_Corp.","Celgene","1","117522931.0",
"NYSE_CNP","http://en.wikipedia.org/wiki/CenterPoint_Energy","CenterPoint Energy","0","90121572.0",
"NYSE_CTL","http://en.wikipedia.org/wiki/CenturyLink_Inc","CenturyLink","6","85643467.0",
"NASDAQ_CERN","http://en.wikipedia.org/wiki/Cerner","Cerner","0","42162929.0",
"NYSE_CF","http://en.wikipedia.org/wiki/CF_Industries_Holdings_Inc","CF Industries","0","56326570.0",
"NYSE_SCHW","http://en.wikipedia.org/wiki/Charles_Schwab_Corporation","Charles Schwab Corporation","3","229222516.0",
"NYSE_CHK","http://en.wikipedia.org/wiki/Chesapeake_Energy","Chesapeake Energy","0","397091556.0",
"NYSE_CVX","http://en.wikipedia.org/wiki/Chevron_Corp.","Chevron Corporation","9","224784494.0",
"NYSE_CMG","http://en.wikipedia.org/wiki/Chipotle_Mexican_Grill","Chipotle Mexican Grill","29","14644369.0",
"NYSE_CB","http://en.wikipedia.org/wiki/Chubb_Corp.","Chubb Corp.","0","27329737.0",
"NYSE_CI","http://en.wikipedia.org/wiki/CIGNA_Corp.","Cigna","31","39122062.0",
"NYSE_XEC","http://en.wikipedia.org/wiki/Cimarex_Energy","Cimarex Energy","0","29127305.0",
"NASDAQ_CINF","http://en.wikipedia.org/wiki/Cincinnati_Financial","Cincinnati Financial","1","13443608.0",
"NASDAQ_CTAS","http://en.wikipedia.org/wiki/Cintas_Corporation","Cintas","1","14073287.0",
"NASDAQ_CSCO","http://en.wikipedia.org/wiki/Cisco_Systems","Cisco Systems","24","510886188.0",
"NYSE_C","http://en.wikipedia.org/wiki/Citigroup_Inc.","Citigroup","6","389991186.0",
"NASDAQ_CTXS","http://en.wikipedia.org/wiki/Citrix_Systems","Citrix Systems","10","41708279.0",
"NYSE_CLX","http://en.wikipedia.org/wiki/The_Clorox_Company","Clorox","2","21345419.0",
"NASDAQ_CME","http://en.wikipedia.org/wiki/CME_Group_Inc.","CME Group","0","31169147.0",
"NYSE_CMS","http://en.wikipedia.org/wiki/CMS_Energy","CMS Energy","0","49416219.0",
"NYSE_COH","http://en.wikipedia.org/wiki/Coach_Inc.","Coach, Inc.","3","97122968.0",
"NYSE_KO","http://en.wikipedia.org/wiki/The_Coca_Cola_Company","The Coca-Cola Company","17","366565547.0",
"NYSE_CCE","http://en.wikipedia.org/wiki/Coca-Cola_Enterprises","Coca-Cola Enterprises","0","40591320.0",
"NASDAQ_CTSH","http://en.wikipedia.org/wiki/Cognizant_Technology_Solutions","Cognizant","14","68695536.0",
"NYSE_CL","http://en.wikipedia.org/wiki/Colgate-Palmolive","Colgate-Palmolive","4","72236612.0",
"NASDAQ_CMCSA","http://en.wikipedia.org/wiki/Comcast_A_Corp","Comcast","20","213549646.0",
"NASDAQ_CMCSK","http://en.wikipedia.org/wiki/Comcast_Special_Corp_Class_A","Comcast","20","54555459.0",
"NYSE_CMA","http://en.wikipedia.org/wiki/Comerica_Inc.","Comerica","1","56858966.0",
"NYSE_CSC","http://en.wikipedia.org/wiki/Computer_Sciences_Corp.","Computer Sciences Corporation","8","20787251.0",
"NYSE_CAG","http://en.wikipedia.org/wiki/ConAgra_Foods_Inc.","ConAgra Foods","13","66972226.0",
"NYSE_COP","http://en.wikipedia.org/wiki/ConocoPhillips","ConocoPhillips","2","194767942.0",
"NYSE_CNX","http://en.wikipedia.org/wiki/CONSOL_Energy_Inc.","Consol Energy","0","206516081.0",
"NYSE_ED","http://en.wikipedia.org/wiki/Consolidated_Edison","Consolidated Edison","1","42080219.0",
"NYSE_STZ","http://en.wikipedia.org/wiki/Constellation_Brands","Constellation Brands","1","26944139.0",
"NYSE_GLW","http://en.wikipedia.org/wiki/Corning_Inc.","Corning Inc.","2","308587953.0",
"NASDAQ_COST","http://en.wikipedia.org/wiki/Costco_Co.","Costco","26","46408315.0",
"NYSE_CCI","http://en.wikipedia.org/wiki/Crown_Castle_International_Corp.","Crown Castle International Corp.","0","NaN",
"NYSE_CSX","http://en.wikipedia.org/wiki/CSX_Corp.","CSX Corporation","0","173279663.0",
