"NYSE_APH","http://en.wikipedia.org/wiki/Amphenol_Corp_A","Amphenol","0","0","33719655.0","0.0639717425432","0.0639717425432"
"NYSE_APC","http://en.wikipedia.org/wiki/Anadarko_Petroleum","Anadarko Petroleum","0","0","107020708.0","0.107468123862","0.107468123862"
"NASDAQ_ADI","http://en.wikipedia.org/wiki/Analog_Devices","Analog Devices","1","36814","72690277.0","0.0657684807658","0.0657684807658"
"NYSE_AON","http://en.wikipedia.org/wiki/Aon_plc","Aon (company)","0","0","25759773.0","0.0530414174472","0.0530414174472"
"NYSE_APA","http://en.wikipedia.org/wiki/Apache_Corporation","Apache Corporation","0","0","102164599.0","0.203524004086","0.203524004086"
"NYSE_AIV","http://en.wikipedia.org/wiki/Apartment_Investment_&_Mgmt","Aimco","0","0","24512271.0","0.0586169638033","0.0586169638033"
"NASDAQ_AAPL","http://en.wikipedia.org/wiki/Apple_Inc.","Apple Inc.","16","2945820","1086633198.0","0.0868576625739","0.0868576625739"
"NASDAQ_AMAT","http://en.wikipedia.org/wiki/Applied_Materials_Inc","Applied Materials","2","25795","344970209.0","0.142370572207","0.142370572207"
"NYSE_ADM","http://en.wikipedia.org/wiki/Archer-Daniels-Midland_Co","Archer Daniels Midland","0","0","62573837.0","0.101568154403","0.101568154403"
"NYSE_AIZ","http://en.wikipedia.org/wiki/Assurant_Inc","Assurant","3","37436","13118219.0","0.0318946968738","0.0318946968738"
"NYSE_T","http://en.wikipedia.org/wiki/AT&T_Inc","AT&T","16","797589","556199873.0","0.0285451197053","0.0285451197053"
"NASDAQ_ADSK","http://en.wikipedia.org/wiki/Autodesk_Inc","Autodesk","1","46722","79009732.0","0.250339827821","0.250339827821"
"NASDAQ_ADP","http://en.wikipedia.org/wiki/Automatic_Data_Processing","Automatic Data Processing","1","11015","42389817.0","0.0833125778331","0.0833125778331"
"NYSE_AN","http://en.wikipedia.org/wiki/AutoNation_Inc","AutoNation","0","0","19081473.0","0.0861120660021","0.0861120660021"
"NYSE_AZO","http://en.wikipedia.org/wiki/AutoZone_Inc","AutoZone","8","145954","5773043.0","0.0836936849813","0.0836936849813"
"NASDAQ_AVGO","http://en.wikipedia.org/wiki/Avago_Technologies","Avago","2","24916","84469959.0","-0.0142502601873","0.0142502601873"
"NYSE_AVB","http://en.wikipedia.org/wiki/AvalonBay_Communities","AvalonBay Communities","1","3873","16583909.0","5.72016931702e-05","5.72016931702e-05"
"NYSE_AVY","http://en.wikipedia.org/wiki/Avery_Dennison_Corp","Avery Dennison","0","0","15850103.0","0.148488598197","0.148488598197"
"NYSE_BHI","http://en.wikipedia.org/wiki/Baker_Hughes_Inc","Baker Hughes","1","30542","65439961.0","0.0122982321291","0.0122982321291"
"NYSE_BLL","http://en.wikipedia.org/wiki/Ball_Corp","Ball Corporation","1","13497","22011488.0","0.101286173633","0.101286173633"
"NYSE_BAC","http://en.wikipedia.org/wiki/Bank_of_America_Corp","Bank of America","9","981838","1826997603.0","0.0770218228498","0.0770218228498"
"NYSE_BK","http://en.wikipedia.org/wiki/The_Bank_of_New_York_Mellon_Corp.","The Bank of New York Mellon","5","257973","126953818.0","0.0638569604087","0.0638569604087"
"NYSE_BCR","http://en.wikipedia.org/wiki/Bard_(C.R.)_Inc.","C. R. Bard","0","0","14817205.0","0.000214695936879","0.000214695936879"
"NYSE_BXLT","http://en.wikipedia.org/wiki/Baxalta","Baxalta","2","16791","71471223.0","0.0936210726753","0.0936210726753"
"NYSE_BAX","http://en.wikipedia.org/wiki/Baxter_International_Inc.","Baxter International","22","668276","137865113.0","0.138203957382","0.138203957382"
"NYSE_BBT","http://en.wikipedia.org/wiki/BB&T_Corporation","BB&T","1","16195","93772565.0","0.0435393258427","0.0435393258427"
"NYSE_BDX","http://en.wikipedia.org/wiki/Becton_Dickinson","Becton Dickinson","0","0","19070624.0","0.0743253429821","0.0743253429821"
